w1,threshold,alpha_l2,w2_no_l3,w2_l3,w3_l3,pearson_r,rmse,mae
0.45,0.85,0.7,0.55,0.385,0.165,0.4099,0.1289,0.0899
0.35,0.55,0.7,0.65,0.455,0.195,0.4099,0.1318,0.095
0.1,0.85,0.6,0.9,0.54,0.36,0.4097,0.1274,0.0878
0.4,0.8,0.6,0.6,0.36,0.24,0.4095,0.128,0.0873
0.15,0.55,0.6,0.85,0.51,0.34,0.4092,0.1367,0.1019
0.2,0.8,0.5,0.8,0.4,0.4,0.4092,0.1273,0.0861
0.25,0.55,0.7,0.75,0.525,0.225,0.4092,0.1343,0.0981
0.15,0.85,0.7,0.85,0.595,0.255,0.4092,0.1285,0.0906
0.4,0.55,0.4,0.6,0.24,0.36,0.4092,0.1304,0.0938
0.4,0.8,0.7,0.6,0.42,0.18,0.4089,0.1281,0.0891
0.45,0.75,0.7,0.55,0.385,0.165,0.4087,0.1285,0.0915
0.45,0.75,0.6,0.55,0.33,0.22,0.4087,0.1283,0.0908
0.4,0.55,0.7,0.6,0.42,0.18,0.4086,0.1312,0.0944
0.35,0.8,0.5,0.65,0.325,0.325,0.4086,0.1281,0.0853
0.15,0.55,0.4,0.85,0.34,0.51,0.4082,0.1355,0.0999
0.45,0.55,0.5,0.55,0.275,0.275,0.4079,0.1304,0.0935
0.45,0.55,0.6,0.55,0.33,0.22,0.4079,0.1305,0.0934
0.1,0.55,0.5,0.9,0.45,0.45,0.4076,0.1379,0.1035
0.2,0.55,0.7,0.8,0.56,0.24,0.4073,0.136,0.1003
0.15,0.8,0.7,0.85,0.595,0.255,0.4069,0.1292,0.0947
0.25,0.75,0.4,0.75,0.3,0.45,0.4068,0.1274,0.0905
0.45,0.55,0.4,0.55,0.22,0.33,0.4063,0.1305,0.0939
0.5,0.85,0.6,0.5,0.3,0.2,0.4063,0.1304,0.0919
0.45,0.55,0.7,0.55,0.385,0.165,0.4063,0.1309,0.0938
0.1,0.85,0.5,0.9,0.45,0.45,0.4062,0.128,0.0856
0.1,0.55,0.6,0.9,0.54,0.36,0.4061,0.139,0.1046
0.1,0.8,0.6,0.9,0.54,0.36,0.4061,0.128,0.0928
0.45,0.85,0.4,0.55,0.22,0.33,0.406,0.1327,0.0897
0.2,0.75,0.4,0.8,0.32,0.48,0.4059,0.1274,0.0916
0.2,0.85,0.4,0.8,0.32,0.48,0.4059,0.1305,0.0849
0.3,0.75,0.4,0.7,0.28,0.42,0.4057,0.1277,0.0897
